freq	unwrap(phase(S(2,1)))
3.85000000000000009E8	-5.33619262959651675E3
3.86000000000000032E8	-5.34962930720753782E3
3.87000000000000011E8	-5.36365305942706971E3
3.87999999999999989E8	-5.37828912965300798E3
3.88999999999999968E8	-5.39356275409058306E3
3.89999999999999991E8	-5.40949888156532310E3
3.91000000000000014E8	-5.42612184521573759E3
3.92000000000000037E8	-5.44345498630616298E3
3.92999999999999972E8	-5.46152023251101237E3
3.93999999999999995E8	-5.48033763646759375E3
3.95000000000000018E8	-5.49992488318566330E3
3.95999999999999996E8	-5.52029677985140488E3
3.97000000000000020E8	-5.54146474593178517E3
3.97999999999999954E8	-5.56343632328599291E3
3.98999999999999977E8	-5.58621473080623687E3
4.00000000000000000E8	-5.60979848931330149E3
4.00999999999999979E8	-5.63418114103517631E3
4.02000000000000046E8	-5.65935108653938368E3
4.02999999999999936E8	-5.68529155582115031E3
4.04000000000000004E8	-5.71198072416607783E3
4.04999999999999982E8	-5.73939197502283172E3
4.06000000000000050E8	-5.76749430089225701E3
4.07000000000000028E8	-5.79625282613722170E3
4.08000000000000007E8	-5.82562942766184211E3
4.08999999999999986E8	-5.85558342342995708E3
4.09999999999999964E8	-5.88607229532838261E3
4.11000000000000032E8	-5.91705241616812838E3
4.12000000000000011E8	-5.94847974889962394E3
4.12999999999999989E8	-5.98031049403168602E3
4.13999999999999968E8	-6.01250166655505858E3
4.15000000000000036E8	-6.04501158965306917E3
4.16000000000000014E8	-6.07780029799676402E3
4.16999999999999993E8	-6.11082985248329891E3
4.17999999999999972E8	-6.14406456709210325E3
4.18999999999999950E8	-6.17747115753657461E3
4.20000000000000018E8	-6.21101882010554540E3
4.20999999999999996E8	-6.24467925024153825E3
4.22000000000000064E8	-6.27842661368097588E3
4.22999999999999954E8	-6.31223747817348002E3
4.24000000000000021E8	-6.34609071610289188E3
4.25000000000000000E8	-6.37996738692282328E3
4.25999999999999979E8	-6.41385060533347229E3
4.27000000000000046E8	-6.44772540169386321E3
4.27999999999999936E8	-6.48157858032312362E3
4.29000000000000004E8	-6.51539857717065551E3
4.29999999999999982E8	-6.54917532183244155E3
4.31000000000000050E8	-6.58290010507922130E3
4.32000000000000028E8	-6.61656545237598248E3
4.33000000000000007E8	-6.65016500676647127E3
4.33999999999999986E8	-6.68369341839545861E3
4.34999999999999964E8	-6.71714624333879584E3
4.36000000000000032E8	-6.75051985077303307E3
4.37000000000000011E8	-6.78381133739997733E3
4.37999999999999989E8	-6.81701845093322145E3
4.38999999999999968E8	-6.85013951993671810E3
4.40000000000000036E8	-6.88317339049348664E3
4.41000000000000014E8	-6.91611936957064266E3
4.41999999999999993E8	-6.94897717445615815E3
4.42999999999999972E8	-6.98174688672402244E3
4.43999999999999950E8	-7.01442891254153533E3
4.45000000000000018E8	-7.04702394556977385E3
4.45999999999999996E8	-7.07953293481421753E3
4.47000000000000064E8	-7.11195705660434108E3
4.47999999999999954E8	-7.14429768952670674E3
4.49000000000000021E8	-7.17655639344607454E3
4.50000000000000000E8	-7.20873488929373440E3
4.50999999999999979E8	-7.24083504067183004E3
4.52000000000000046E8	-7.27285883894747087E3
4.52999999999999936E8	-7.30480839252869707E3
4.54000000000000004E8	-7.33668591775772683E3
4.54999999999999982E8	-7.36849373060333868E3
4.56000000000000050E8	-7.40023423462632302E3
4.57000000000000028E8	-7.43190991114537347E3
4.58000000000000007E8	-7.46352331601431196E3
4.58999999999999986E8	-7.49507708320794297E3
4.59999999999999964E8	-7.52657392777944345E3
4.61000000000000032E8	-7.55801664020948483E3
4.62000000000000011E8	-7.58940807161615805E3
4.62999999999999989E8	-7.62075112677322153E3
4.63999999999999968E8	-7.65204877737654066E3
4.65000000000000036E8	-7.68330408765688766E3
4.66000000000000014E8	-7.71452022781938762E3
4.66999999999999993E8	-7.74570045426702780E3
4.67999999999999972E8	-7.77684807523858268E3
4.68999999999999950E8	-7.80796644807317364E3
4.70000000000000018E8	-7.83905903295112427E3
4.70999999999999996E8	-7.87012946480345210E3
4.72000000000000064E8	-7.90118156953848860E3
4.72999999999999954E8	-7.93221929154289018E3
4.74000000000000021E8	-7.96324660620595903E3
4.75000000000000000E8	-7.99426754107082438E3
4.75999999999999979E8	-8.02528633987664008E3
4.77000000000000046E8	-8.05630763481259571E3
4.77999999999999936E8	-8.08733643400960567E3
4.79000000000000004E8	-8.11837789124889397E3
4.79999999999999982E8	-8.14943709988771658E3
4.81000000000000050E8	-8.18051921767754209E3
4.82000000000000028E8	-8.21162993057165913E3
4.83000000000000007E8	-8.24277583656060919E3
4.83999999999999986E8	-8.27396427386245392E3
4.84999999999999964E8	-8.30520264849019973E3
4.86000000000000032E8	-8.33649799631748145E3
4.87000000000000011E8	-8.36785751535532185E3
4.87999999999999989E8	-8.39928985527372518E3
4.88999999999999968E8	-8.43080588751142912E3
4.90000000000000036E8	-8.46241784320322132E3
4.91000000000000014E8	-8.49413740393270267E3
4.91999999999999993E8	-8.52597500262579366E3
4.92999999999999972E8	-8.55794199288292035E3
4.93999999999999950E8	-8.59005424441496324E3
4.95000000000000018E8	-8.62233315357696384E3
4.95999999999999996E8	-8.65480178454190252E3
4.97000000000000064E8	-8.68747962230628801E3
4.97999999999999954E8	-8.72038323603458387E3
4.99000000000000021E8	-8.75353553068431367E3
5.00000000000000000E8	-8.78697519964190477E3
5.00999999999999979E8	-8.82075318609734715E3
5.02000000000000046E8	-8.85491536000464308E3
5.02999999999999936E8	-8.88949216806449094E3
5.04000000000000004E8	-8.92451890155560257E3
5.04999999999999982E8	-8.96007571045664619E3
5.06000000000000050E8	-8.99629510229367924E3
5.07000000000000028E8	-9.03330374873494257E3
5.08000000000000007E8	-9.07116389705765869E3
5.08999999999999986E8	-9.10994722235899346E3
5.09999999999999964E8	-9.14992812484807061E3
5.11000000000000032E8	-9.19160026224400539E3
5.12000000000000011E8	-9.23530186975581913E3
5.12999999999999989E8	-9.28107456241602158E3
5.13999999999999968E8	-9.32979707314255791E3
5.15000000000000036E8	-9.38398720907270345E3
5.16000000000000014E8	-9.44450301178565432E3
5.16999999999999993E8	-9.51412139905583309E3
5.17999999999999972E8	-9.60026704104168083E3
5.18999999999999950E8	-9.65895082601021926E3
5.20000000000000018E8	-9.69307031896702931E3
5.20999999999999996E8	-9.71750709700819115E3
5.22000000000000064E8	-9.73727801148789318E3
5.22999999999999954E8	-9.75433983800796156E3
5.24000000000000021E8	-9.76964014759110455E3
5.25000000000000000E8	-9.78371227259002652E3
5.25999999999999979E8	-9.79688947105706376E3
5.27000000000000046E8	-9.80939655394298526E3
5.27999999999999936E8	-9.82139441931518320E3
5.29000000000000004E8	-9.83300387730258407E3
5.29999999999999982E8	-9.84431938275837304E3
5.31000000000000050E8	-9.85541743620434829E3
5.32000000000000028E8	-9.86636198331694558E3
5.33000000000000007E8	-9.87720803218053867E3
5.33999999999999986E8	-9.88800416643506352E3
5.34999999999999964E8	-9.89879434747529174E3
5.36000000000000032E8	-9.90961924412621009E3
5.37000000000000011E8	-9.92051723835018784E3
5.37999999999999989E8	-9.93152520184542986E3
5.38999999999999968E8	-9.94267910482817285E3
5.40000000000000036E8	-9.95401449637969726E3
5.41000000000000014E8	-9.96556688112992006E3
5.41999999999999993E8	-9.97737200537535251E3
5.42999999999999972E8	-9.98946605920315278E3
5.43999999999999950E8	-1.00018857932383320E4
5.45000000000000018E8	-1.00146685437197291E4
5.45999999999999996E8	-1.00278521570675894E4
5.47000000000000064E8	-1.00414747990706732E4
5.47999999999999954E8	-1.00555746362244625E4
5.49000000000000021E8	-1.00701893752227933E4
5.50000000000000000E8	-1.00853556534614808E4
5.50999999999999979E8	-1.01011082804437580E4
5.52000000000000046E8	-1.01174793442167887E4
5.52999999999999936E8	-1.01344972141809686E4
5.54000000000000004E8	-1.01521854923981225E4
5.54999999999999982E8	-1.01705619849993534E4
5.56000000000000050E8	-1.01896377822178819E4
5.57000000000000028E8	-1.02094165425334982E4
5.58000000000000007E8	-1.02298940672163452E4
5.58999999999999986E8	-1.02510582323926824E4
5.59999999999999964E8	-1.02728893070376914E4
5.61000000000000032E8	-1.02953606438820233E4
5.62000000000000011E8	-1.03184396855360361E4
5.62999999999999989E8	-1.03420891956564143E4
5.63999999999999968E8	-1.03662686053685249E4
5.65000000000000036E8	-1.03909353652322634E4
5.66000000000000014E8	-1.04160462081481131E4
5.66999999999999993E8	-1.04415582524527406E4
5.67999999999999972E8	-1.04674299061659504E4
5.68999999999999950E8	-1.04936215596961402E4
5.70000000000000018E8	-1.05200960725423198E4
5.70999999999999996E8	-1.05468190710938536E4
5.72000000000000064E8	-1.05737590841384987E4
5.72999999999999954E8	-1.06008875521680968E4
5.74000000000000021E8	-1.06281787502659819E4
5.75000000000000000E8	-1.06556096603868822E4
5.75999999999999979E8	-1.06831598101821523E4
5.77000000000000046E8	-1.07108110773160026E4
5.77999999999999936E8	-1.07385474585261953E4
5.79000000000000004E8	-1.07663548275566368E4
5.79999999999999982E8	-1.07942207206604390E4
5.81000000000000050E8	-1.08221341785397884E4
5.82000000000000028E8	-1.08500856275663837E4
5.83000000000000007E8	-1.08780667448460089E4
5.83999999999999986E8	-1.09060702674443810E4
5.84999999999999964E8	-1.09340897743521337E4
5.86000000000000032E8	-1.09621195272787619E4
5.87000000000000011E8	-1.09901544321210132E4
5.87999999999999989E8	-1.10181900843895386E4
5.88999999999999968E8	-1.10462227726320128E4
5.90000000000000036E8	-1.10742493368418060E4
5.91000000000000014E8	-1.11022669173961597E4
5.91999999999999993E8	-1.11302727670387069E4
5.92999999999999972E8	-1.11582642786712460E4
5.93999999999999950E8	-1.11862392026140811E4
5.95000000000000018E8	-1.12141958309880097E4
5.95999999999999996E8	-1.12421329176122420E4
5.97000000000000064E8	-1.12700493267252111E4
5.97999999999999954E8	-1.12979436799579558E4
5.99000000000000021E8	-1.13258143295106750E4
6.00000000000000000E8	-1.13536597244164938E4


