Model,DPO4104
Firmware Version,2.48

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,2e-06,,
Sample Interval,2e-10,,
Record Length,100000,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,0.1,1
Label,,,
TIME,CH1,CH2,CH3
-9.76960e-06,0.00501562,-3.125e-05,0.815312
-9.76940e-06,0.00567187,0.000140625,0.819844
-9.76920e-06,0.0055,-0.0003125,0.809375
-9.76900e-06,0.00523437,0,0.814844
-9.76880e-06,0.00532813,0.00021875,0.815312
-9.76860e-06,0.00539062,0.000375,0.814375
-9.76840e-06,0.00517187,0.000421875,0.812187
-9.76820e-06,0.00490625,0.00034375,0.814688
-9.76800e-06,0.00528125,0.000171875,0.814062
-9.76780e-06,0.00534375,0.000484375,0.816719
-9.76760e-06,0.00535937,0.000515625,0.818281
-9.76740e-06,0.004625,-0.00046875,0.812969
-9.76720e-06,0.00523437,1.5625e-05,0.814062
-9.76700e-06,0.00534375,-0.000171875,0.812344
-9.76680e-06,0.0054375,0.000125,0.813125
-9.76660e-06,0.00546875,0.000828125,0.8175
-9.76640e-06,0.00509375,4.6875e-05,0.814844
-9.76620e-06,0.00525,0.000296875,0.814375
-9.76600e-06,0.00503125,0.00025,0.812812
-9.76580e-06,0.00565625,0.00053125,0.820469
-9.76560e-06,0.00525,0.000421875,0.81375
-9.76540e-06,0.00492187,0.00025,0.819219
