Model,DPO4104
Firmware Version,2.48

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,2e-06,,
Sample Interval,2e-10,,
Record Length,100000,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,0.1,2
Label,,,
TIME,CH1,CH2,CH3
-9.87280e-06,0.00939063,0.00739062,6.0725
-9.87260e-06,0.0096875,0.00759375,6.08563
-9.87240e-06,0.00989063,0.008,6.085
-9.87220e-06,0.00971875,0.00784375,6.07656
-9.87200e-06,0.00967188,0.0079375,6.07563
-9.87180e-06,0.00976562,0.008125,6.08969
-9.87160e-06,0.00973438,0.00807812,6.09813
-9.87140e-06,0.00957813,0.00771875,6.09531
-9.87120e-06,0.00967188,0.0079375,6.10313
-9.87100e-06,0.0100625,0.00823438,6.09656
-9.87080e-06,0.010125,0.00823438,6.08844
-9.87060e-06,0.00976562,0.00795313,6.08969
-9.87040e-06,0.00926562,0.00832813,6.09844
-9.87020e-06,0.0100625,0.00832813,6.10313
-9.87000e-06,0.0101719,0.00890625,6.10438
-9.86980e-06,0.00964063,0.00867187,6.09938
-9.86960e-06,0.0095625,0.00870312,6.11844
-9.86940e-06,0.010125,0.00857812,6.11063
-9.86920e-06,0.0101406,0.00867187,6.10562
-9.86900e-06,0.00984375,0.0084375,6.10625
-9.86880e-06,0.00989063,0.00857812,6.11406
-9.86860e-06,0.00964063,0.00795313,6.11937
-9.86840e-06,0.0099375,0.008375,6.12813
-9.86820e-06,0.0103281,0.00876562,6.1275
-9.86800e-06,0.00984375,0.0084375,6.13063
-9.86780e-06,0.0101563,0.00882813,6.12719
-9.86760e-06,0.0101719,0.00892188,6.11781
-9.86740e-06,0.0102656,0.00895313,6.12281
-9.86720e-06,0.0100313,0.00895313,6.125
-9.86700e-06,0.00978125,0.00857812,6.11781
-9.86680e-06,0.0100625,0.00889062,6.12594
-9.86660e-06,0.0100625,0.00845313,6.1375
-9.86640e-06,0.0103438,0.00914063,6.1475
-9.86620e-06,0.00978125,0.00907812,6.14344
-9.86600e-06,0.00990625,0.0085,6.135
-9.86580e-06,0.0101563,0.0085,6.13125
-9.86560e-06,0.0100313,0.00848437,6.13844
-9.86540e-06,0.0102187,0.008625,6.13969
-9.86520e-06,0.0105156,0.00889062,6.13625
-9.86500e-06,0.01,0.00876562,6.1325
-9.86480e-06,0.0100938,0.008375,6.13687
-9.86460e-06,0.0101563,0.00884375,6.13813
-9.86440e-06,0.0103438,0.00840625,6.14094
-9.86420e-06,0.0102187,0.0083125,6.13281
-9.86400e-06,0.01,0.00854688,6.14
-9.86380e-06,0.0101094,0.00848437,6.1425
-9.86360e-06,0.00979688,0.00842188,6.14125
-9.86340e-06,0.010125,0.00851563,6.13813
-9.86320e-06,0.01075,0.008,6.12312
-9.86300e-06,0.0100469,0.0080625,6.12125
-9.86280e-06,0.00970313,0.00803125,6.12906
-9.86260e-06,0.00990625,0.00817187,6.13125
-9.86240e-06,0.009625,0.00803125,6.12
-9.86220e-06,0.00957813,0.00760938,6.10344
-9.86200e-06,0.0101875,0.0073125,6.11813
-9.86180e-06,0.0103594,0.007375,6.13
-9.86160e-06,0.00984375,0.00710938,6.12594
-9.86140e-06,0.009875,0.00728125,6.12094
-9.86120e-06,0.00982813,0.00728125,6.11188
-9.86100e-06,0.00973438,0.00773438,6.11
-9.86080e-06,0.0100625,0.0070625,6.11125
-9.86060e-06,0.00971875,0.00732813,6.10531
-9.86040e-06,0.009875,0.00714063,6.11
-9.86020e-06,0.0098125,0.00695313,6.09656
-9.86000e-06,0.0100938,0.0068125,6.10594
-9.85980e-06,0.00953125,0.0060625,6.10406
-9.85960e-06,0.00976562,0.00626562,6.09219
-9.85940e-06,0.0100781,0.0065625,6.08031
-9.85920e-06,0.00998438,0.00625,6.08125
-9.85900e-06,0.0098125,0.00640625,6.08375
-9.85880e-06,0.00953125,0.00621875,6.07938
-9.85860e-06,0.00978125,0.00623438,6.07875
-9.85840e-06,0.00935938,0.00584375,6.0825
-9.85820e-06,0.00970313,0.006125,6.08219
-9.85800e-06,0.00945313,0.00601563,6.08781
-9.85780e-06,0.0095625,0.00625,6.07844
-9.85760e-06,0.00985938,0.00598437,6.08063
-9.85740e-06,0.00940625,0.00570313,6.06344
-9.85720e-06,0.00925,0.00551563,6.04938
-9.85700e-06,0.009,0.00554688,6.03906
-9.85680e-06,0.00934375,0.00570313,6.04531
-9.85660e-06,0.00909375,0.005375,6.06313
-9.85640e-06,0.00917188,0.00523438,6.06594
-9.85620e-06,0.00951562,0.00510938,6.0625
-9.85600e-06,0.0089375,0.00532813,6.05375
-9.85580e-06,0.00907813,0.00520313,6.04656
-9.85560e-06,0.00928125,0.00490625,6.05063
-9.85540e-06,0.00926562,0.00507812,6.05656
-9.85520e-06,0.00860938,0.00509375,6.05219
-9.85500e-06,0.00878125,0.00503125,6.04469
-9.85480e-06,0.00901562,0.00510938,6.03313
-9.85460e-06,0.008875,0.00565625,6.01656
-9.85440e-06,0.00878125,0.004875,6.02531
-9.85420e-06,0.00907813,0.00454688,6.04312
-9.85400e-06,0.00925,0.0045625,6.06156
-9.85380e-06,0.00878125,0.00451563,6.05781
-9.85360e-06,0.0085625,0.00495313,6.04563
-9.85340e-06,0.00882813,0.004625,6.02531
-9.85320e-06,0.00859375,0.00442188,6.03938
-9.85300e-06,0.00904688,0.00460938,6.04063
-9.85280e-06,0.00871875,0.0045625,6.04969
-9.85260e-06,0.0084375,0.004875,6.04594
-9.85240e-06,0.00834375,0.004375,6.03688
-9.85220e-06,0.00832813,0.00401563,6.02875
-9.85200e-06,0.00840625,0.004125,6.0325
-9.85180e-06,0.00884375,0.00440625,6.0325
-9.85160e-06,0.0089375,0.00445313,6.03156
-9.85140e-06,0.00889063,0.00459375,6.02562
-9.85120e-06,0.00804688,0.00454688,6.03125
-9.85100e-06,0.00814063,0.00435937,6.03219
-9.85080e-06,0.00846875,0.00442188,6.03469
-9.85060e-06,0.00839063,0.00475,6.04281
-9.85040e-06,0.008625,0.00451563,6.04594
-9.85020e-06,0.00848438,0.00428125,6.04188
-9.85000e-06,0.00810938,0.00409375,6.02719
-9.84980e-06,0.0085,0.00421875,6.01625
-9.84960e-06,0.00804688,0.00414063,6.025
-9.84940e-06,0.00801562,0.00379688,6.0275
-9.84920e-06,0.00817188,0.00398437,6.02375
-9.84900e-06,0.008375,0.00423438,6.02625
-9.84880e-06,0.00784375,0.00370313,6.025
-9.84860e-06,0.00848438,0.004125,6.03156
-9.84840e-06,0.00821875,0.00371875,6.02937
-9.84820e-06,0.008125,0.0040625,6.02844
-9.84800e-06,0.00834375,0.00420313,6.03438
-9.84780e-06,0.00832813,0.00385937,6.03844
-9.84760e-06,0.00803125,0.00396875,6.04563
-9.84740e-06,0.00814063,0.00396875,6.04344
-9.84720e-06,0.00853125,0.00432813,6.03594
-9.84700e-06,0.00807813,0.00365625,6.04219
-9.84680e-06,0.00839063,0.00385937,6.0475
-9.84660e-06,0.008125,0.00371875,6.04406
-9.84640e-06,0.00796875,0.0040625,6.04375
-9.84620e-06,0.00814063,0.004125,6.05594
-9.84600e-06,0.00798438,0.00373438,6.05469
-9.84580e-06,0.0079375,0.00370313,6.04938
-9.84560e-06,0.00798438,0.0038125,6.05594
-9.84540e-06,0.00828125,0.00426562,6.06313
-9.84520e-06,0.00790625,0.00365625,6.06344
-9.84500e-06,0.00804688,0.003625,6.07188
-9.84480e-06,0.00789063,0.00359375,6.06031
-9.84460e-06,0.00785938,0.00378125,6.06375
-9.84440e-06,0.007625,0.003625,6.065
-9.84420e-06,0.00739063,0.00367187,6.0575
-9.84400e-06,0.00779688,0.00357812,6.07281
-9.84380e-06,0.0078125,0.003875,6.08656
-9.84360e-06,0.00807813,0.00390625,6.07938
-9.84340e-06,0.00767188,0.003625,6.08656
-9.84320e-06,0.0076875,0.00351563,6.08625
-9.84300e-06,0.0074375,0.0036875,6.0775
-9.84280e-06,0.00742188,0.0036875,6.07313
-9.84260e-06,0.00789063,0.00348437,6.0825
-9.84240e-06,0.00767188,0.00326562,6.07594
-9.84220e-06,0.00792188,0.00360938,6.08219
-9.84200e-06,0.00748438,0.00353125,6.09063
-9.84180e-06,0.00742188,0.00367187,6.10219
-9.84160e-06,0.00765625,0.003875,6.09531
-9.84140e-06,0.0075625,0.0035,6.07844
-9.84120e-06,0.00771875,0.00339062,6.09187
-9.84100e-06,0.00746875,0.00301563,6.10156
-9.84080e-06,0.00767188,0.00359375,6.11156
-9.84060e-06,0.00751563,0.00314063,6.10219
-9.84040e-06,0.00734375,0.00334375,6.09906
-9.84020e-06,0.00746875,0.00364063,6.08875
-9.84000e-06,0.00775,0.00326562,6.0925
-9.83980e-06,0.007875,0.00310938,6.10156
