time	V_in
9.64454684599502166E-8	-2.88163582127523421E-2
9.65061950877032793E-8	-2.86597907240081184E-2
9.65700700348092056E-8	-2.85152653601702344E-2
9.66197947448227445E-8	-2.84383734348515160E-2
9.66757825731916398E-8	-2.83767565780990338E-2
9.67454785388807181E-8	-2.83615917963558273E-2
9.68453966642801412E-8	-2.84035403318097668E-2
9.68999923632740057E-8	-2.84580108124308140E-2
9.69558970567576495E-8	-2.85325222774646070E-2
9.70132298367789581E-8	-2.86221316382930890E-2
9.70643236555349453E-8	-2.87219532191296745E-2
9.71123915470210086E-8	-2.88231993063747760E-2
9.71671591041899774E-8	-2.89431320773693601E-2
9.72365452813895814E-8	-2.90918857024623945E-2
9.73190379507795100E-8	-2.92611780488676798E-2
9.73706703406381102E-8	-2.93488375688428293E-2
9.74254183497969706E-8	-2.94311673190523981E-2
9.74942600025146788E-8	-2.95087345519155564E-2
9.75656923102835805E-8	-2.95535248065016676E-2
9.76161388376890926E-8	-2.95591998688302127E-2
9.76703844232719298E-8	-2.95426941696911927E-2
9.77392304955416513E-8	-2.94818109343570667E-2
9.78370081435742023E-8	-2.93206777491863768E-2
9.78907203984133112E-8	-2.91905590199292631E-2
9.79466362255071310E-8	-2.90237116292204078E-2
9.80006348062065413E-8	-2.88243267164793693E-2
9.80563778951449017E-8	-2.85882645227659049E-2
9.81039476737368865E-8	-2.83622917572445932E-2
9.81567727811640189E-8	-2.80996530435241088E-2
9.82221575540768121E-8	-2.77684585959442343E-2
9.82766059201030728E-8	-2.75018632809708574E-2
9.83185446913771699E-8	-2.73023375864271989E-2
9.83673488333475987E-8	-2.70801835630263499E-2
9.84228297200925262E-8	-2.68453458069739259E-2
9.85466450077565526E-8	-2.63987977056644496E-2
9.86136903566489309E-8	-2.62171499500638516E-2
9.86689455898082279E-8	-2.61100652277662082E-2
9.87293039381933291E-8	-2.60205286769082722E-2
9.88359199682581391E-8	-2.59234384867603529E-2
9.88907556345026961E-8	-2.59007182918633116E-2
9.89459723167966665E-8	-2.58989345656915448E-2
9.90255495295864030E-8	-2.59393232057986811E-2
9.90811777075452227E-8	-2.59931525110083150E-2
9.91324890155498117E-8	-2.60575971364038361E-2
9.91887972801682949E-8	-2.61328245484488964E-2
9.92780779111156164E-8	-2.62342023431644567E-2
9.93379917676843327E-8	-2.62729738857855821E-2
9.93903228215850199E-8	-2.62794794917294672E-2
9.94472403041288899E-8	-2.62694799010479096E-2
9.95027659531926112E-8	-2.62349165365468595E-2
9.95600294985246492E-8	-2.61915164310357218E-2
9.96074990022990292E-8	-2.61396022826899976E-2
9.96617529483430253E-8	-2.60662001971664470E-2
9.97268698422846001E-8	-2.59396289060283669E-2
9.97818725525545602E-8	-2.58084536398995201E-2
9.98245937710078124E-8	-2.56876349115492841E-2
9.98737193312180871E-8	-2.55227956882504881E-2
9.99313927563876447E-8	-2.52990895175392749E-2
1.00010412277537286E-7	-2.49492684756135885E-2
1.00075839354178009E-7	-2.46241420940796818E-2
1.00127371566874501E-7	-2.43483932945624026E-2
1.00182674468241295E-7	-2.40432772710742926E-2
1.00261540169990071E-7	-2.36017049043922977E-2
